question_id,question_description,answer_category_num,question_description_clean
8213,بعد تأكيده أن لا خلاف إيديولوجي مع اسرائيل، وزير خارجية العهد القوي جبران باسيل يؤكّد في مقابلة مع قناة سيإنإن أن أمن…,Normal,تاكيد ان خلاف ايديولوجي اسراءيل وزير خارجي عهد قوه جبران باسيل اكد مقابل قناه سيانان ان امن 
2052,أمة عربية و احدة,Normal,ام عربي احد
4444,ما يبقى بعد النظر الا البقر بعد كل مخازي ونكبات ثورات الإخوان الخرفان مازال هناك بقر,Violent,ابقي نظر بقر مخزاه نكبه ثوره اخوه خرفان بقر
7369,انت بدك طبيب نفسي ,Mockery,بد طبيب نفس
8609,احلى تحية للجزائر وشعبها,Normal,حلو احيي جزاءر شعب
7906,لما العاهرة تاضر بالعفة ,Violent,عاهره تاضر عفه
1119,كم أنت خرا عندما لا تظهر إلا وقت الحاجة,Mockery,انت خر اظهر الا وقت حاجه
567,صحيح انما واسطة التيار الوطني الحر ظاهرة في نتايج كتاب العدل اين الكفاءة في جيب جبران باسيل,Normal,صحيح ان ما واسطه تيار وطني حر ظاهره نتايج كتاب عدل كفاءه جيب جبران باسيل
3138,روح تعالج يا حمار انت ,Mockery,روح عالج يا حمار
4900,"كلام سليم في صلاة الجمعه يدعون على حكام الخليج 
والخليج دافع مليارات عشات قضيتهم",Racist,كلام سليم صلاه جمعه ادعي حاكم خليج خليج دافع مليار عشات قضيه
4187,والله يا ستي حتى عربان بطلوا يلبقوا إلها همه بعران حمير خنازير اشي متل هيك,Racist,الله يا ست عربان بطل لبق ولي هم بعير حمار خنزير وشي متل هيك
6106,وئام وهاب كلب يحركة رائحة الدسم من المال لاعقيدة ولاعروبه وابعد مايكون عن الرجوله والشرف ,Mockery,وءام وهاب كلب حر ك راءحه دسم مال لاعقيده ولاعروبه ابعد مايكون رجوله شرف
1134,ماعندنا بارات للاسف البارات ببلدك وينظمها انتي وامك وبنات بلدك ,Racist,ماعندنا بار اسف بار بلد نظم ان ه ام بنت بلد
5355,العمى شو تشتوش,Mockery,عم ي شو تشتوش
2754,عهد معجبة بأبو زميرة و اماني مغرمة بأبو مخطة بشار الاسد,Mockery,عهد معجب ابو زميره امان مغرم ابو مخط بشار اسد
1906,قديش ممكن الواحد يكون ندل وواطي لحتى يكون هيك,Mockery,قديش ممكن واحد دل واطي لحتي هيك
2467,هيدا ايراني فارسي يهودي من احفاد القرده و الخنازير,Religious affiliation,هيدا ايراني رسا يهودي حفيد قرد خنزير
4216,ما حدا مرتد ولعين غيرك يا واطي ,Religious affiliation,حدا مرتد عين غير يا واطي
8356,مجتمع من الخراف سيحكمه عاجلاً ام آجلا حكومة من الذئاب برتراند دي جوفنيل ,Normal,مجتمع خروف حكم عاجل اجل حكومه ذءب برتراند دي جوفنيل
7447,هل بادروهم اليونانين بالمثل للسورين بيوم الصعوبات التي يمرون بها السوريون ام عملوا عليهم تسكير على شواطئ بحر اليونان,Religious affiliation,بادر اليونانين مثل للسورين يوم صعوبه مر سوري عمل علي تسكير شاطء بحر يونان
5099,نحنا جماعه ديلفيري م منفهم نترجم كلام المثقفين امثال جبران باسيل اوك,Violent,ناح جماعه ديلفيري منفهم ترجم كلام مثقف مثل جبران باسيل اوك
5507,صدقني انت بتضحك اكتر    ,Normal,صدق بتضحك اكتري
1249,يالله ولاك كلب عالحظيرة انتهت مهمتك,Racist,يا الله ولي كلب عالحظيره انتهي مهمه
6232,صدقت ياصوت لبنان الحر العابق بالنضال والوطنية المحترم وهاب قطب فاعل ونقي من الدروز الشرفا ,Mockery,صدق ياصوت لبنان حر عابق نضال وطني محترم وهاب قطب فاعل نقي درزي الشرفا
7157,الله يلعن صباحك ,Violent,الله لعن صباح
7776,جعجع يقصف عمرك ياحشاش ياعميل ياوسخ خراس يبليك باتلك روح انضب يا زبالة,Normal,جعجع قصف عمر ياحشاش ياعميل ياوسخ خراس ابلي باتلك روح نضب يا زباله
100,و الله يا رفيقة طلعلي حب شباب على حبالي الصوتية و انا عم قلهم بس فالج،شعب تنح لا ينخبز و لا ينعجن,Normal,الله يا رفيق طلعلي حب شباب حبل صوتي عم قل فالج شعب نحا ينخبز ينعجن
8471,جكارة ببريطانيا والله,Normal,جكاره بريطانيا الله
8002,كول هوا الله ياخدك,Violent,كول هوا الله ياخدك
1187,ما ضاع حق وراءه مطالب ,Normal,ضاع حق وراء مطلب
8580,جزاك الله خير,Normal,جزء الله خير
2348,لقد كان عاماً مليئاً بال يلعن روحك يا حافظ,Violent,قد عام مليء بال لعن روح يا حافظ
400,يعني بدك تسلبها علينا خلي عندك الشجاعة على الأقل تقول إنك عم تسلبها علينا هي الحجج أبو ليرتين تبع ما دخلني وأنا هيك هيك بلاها,Violent,عن ني بد سلب علي خلي عند شجاعه اقل قال ان عم سلب علي حجه ابو ليره باع دخل انا هيك هيك ب لي
674,اول مرة بشوف وقاحة متل هالنوع شفلي شي دولة عندا ذرة كرامي بتقبل انو كلب سياسي متل اشرف ريفي يدافع عن الإرهابيي,Mockery,شوف وقاحه متل هالنوع شفلي شي دوله عند ذره رامي تقبل نوي كلب سياسي متل اشرف ريف دافع الارهابيي
544,موصفات الرئيس جبران باسيل,Mockery,موصفات رءيس جبران باسيل
7448,يريد إعمار سوريا والزبالة تطمره في بيروت,Religious affiliation,اراد اعمار سوريا زباله طمر بيروت
872,شوي وبيصير عنا ثقافة ولي عهد,Mockery,شوي وبيصير عن ثقافه ولي عهد
826,كول هوا صارو  ,Violent,كول هوا صارو
1330,هدا الشعب اللي طرد الاسرائيلي ، لازم يصحى يوم ويطرد أصحاب المواكب ، لبنان كان درة المنطقة ، مو حرام… ,Violent,هدا شعب ل ي طرد اسراءيلي لازم صحا طرد صاحب موكب لبنان در منطقه مو حرام 
2035,ولك خلص بقى، خلص والله ارحم حالك، هيدي الصفات صفات معلمك القتل والاجرام والابادة الجماعية، استر على حالك ليستر الله عليك يا زلمي ,Violent,ل خلص بقي خلص الله رحم حال هيدي صفه صفه معلم قتل اجرام اباده جماعي س تر حال س تر الله يا زلم
4343,زمن الاوغاد ,Mockery,زمن و غد
4506,ما أوطاك ,Mockery,اوطا
1484,خليت صرمايته لكم ياتسلاب ايران ,Violent,خلي صرمايه ل ياتسلاب ايران
378, انتي مسخرة بشرفي,Mockery,ان ه مسخر شرف
7289,دمشق العشق ,Normal,دمشق عشق
2679,أصلن خلفة البنات بتجيب العار,Sexual harrasment,اصل خلف بنت بتجيب عار
3575,بعد ساعتين حكي ما بينشبع منهم,Normal,ساعه حكي بينشبع من
1386,إنتهت القمة و أثبت جبران باسيل أنه رجل دولة بامتياز و أنه المفكّر السياسي الأول على صعيد البلد,Normal,انتهي قمه اثبت جبران باسيل ان رجل دوله امتياز ان مفكر سياسي اول صعيد بلد
3601,ما في غبي الي انت ياحوان كول هوا وسكت,Violent,غبي ياحوان كول هوا سكت
8896,هلا غزة الوحيدة بكل فلسطين هي الحرة... لهيك بصبو كل حقدهم عليها والعرب بساعدوهم حسبنا الله ونعم الوكيل,Violent,غزه وحيد كل فلسطين حر لها ه صبو حقد عرب بساعدوهم حسب الله نعم وكيل
7390,شاوري معلمك طنبر الجاهلية بالأول قبل ما تغيرييها بلكي ألو رأي تاني أو مثل عادته بيستعين بصديق حبيت ,Religious affiliation,شاوري معلم طنبر جاهليه اول تغيرييها بلك الو راي تاني او عاده بيستعين صديق حبيت
8384,و عندك هيدا الخرى يللي مستعد يبيع نفسو حتى للشيطان مش بس لأمريكا,Violent,عند هيدا الخري يللي مستعد باع فسا شيطان مش امريكا
4512,كول هوا يول,Violent,كول هوا اولي
1577,يا ريت تخرس وتسد نيعك الوسخ,Violent,يا ريت خرس ساد نيع وسخ
2224,خازوق فيك ولي بشد عمشدك عم بيحكي عن جعجع شو خص سعد الحريري ولا عملكن عقدة,Violent,خازوق في ولي شد عمشدك عم بيحكي جعجع شو خص سعد حريري عمل عقد
7309,ما خصك ما دخلك افرنقع        ,Violent,خص دخل افرنقع
1999,جبران باسيل متل حبة العدس يوم الك ويوم عليك,Normal,جبران باسيل متل حب عدس ولي يوم
8820,تحيا كبيرا من الجزائر إلى أهلي في فلسطين,Normal,حي كبير جزاءر الي اهل ي فلسطين
7303,مع احترامي الك كرمال لا تبقي عايشة بأوهام للمستقبل   هيدا التحالف ماشي مع ميشال عون شخصيا,Normal,احترام ولي رمل ابقي عاءش و هم مستقبل هيدا تحالف ماشي ميشيل عون شخصي
3632,سوف يتحاسبو جميعالان الحق سلطان ,Normal,يتحاسبو جميعالان حق سلطان
6760,لو نحنا بدولة بتحترم حالها كنت انت اول واحد بينزت بالحبس ,Violent,ناح دوله بتحترم حال كان بينزت حبس
6314,يا إمّعَة يا ربع رجال بيشرفك اللواء يا جاهل الجاهلية ,Mockery,يا امع يا ربع رجل بيشرفك لواء يا جاهل جاهليه
2707,خليك منتظر ليرجع جبران باسيل الله يرحم ايامك يا ميشيل عون,Normal,خليك منتظر رجع جبران باسيل الله رحم يوم يا ميشيل عون
3259,لك شو صاير معك يا زلمي ارتقي شوي صاير متل الولد يلي بياكل فلقه وجاي يبكي عند ابوه خليني خبرك شي ع طري… ,Mockery,ل شو صاير معك يا زلم ارتقي شوي صاير متل ولد بياكل فلقه وجاي بك ي اب خليني خبر شي طري 
6187,شو قصتك انت واللواء عثمان ،، لهالدرجة قاهرك ما في تغريدات الا عنه وعن الشيخ ، ,Normal,شو قصه لواء عثمان لهالدرجه قاهر تغريد عن شيخ
7551,انا مش عربية انا فينيقية لا يا شطورة إنتي حمارة,Mockery,مش عربي فينيقي يا شطر ان ه حمار
4316,كول هوا دعسوا على راسك وراس كل خاين امثالكم                                    ,Violent,كول هوا دعس راس راس خاين مثل
6229,يا حمار قمة يعني زبالة,Mockery,يا حمار قمه عن ني زباله
2809,كول خرا ياحمار ,Violent,كول خر ياحمار
6218,كل ما تزيد هالإشاعات كل ما يصير عنّا ثقة أكتر و أكتر بالملك جبران باسيل,Normal,زاد هالاشاعات صار عن ثقه اكتري اكتري ملك جبران باسيل
1457,كبيرررر يا وهاب ,Normal,كبيرررر يا وهاب
5794,شي مفتخر للأمانة,Normal,شي مفتخر امانه
8237,اللي عملو للبنان جبران بدن سنة تيعملوا ربعو,Normal,ل ي عملو لبنان جبران بدن تيعملوا ربعو
8095,نتمنى اذا كان بلقمة ما يحك باسم الدروز لانه شيخ فقط لدار خلدة ودار حضرتك لان الجاهلية لا تمثلها انت وخلدة لا… ,Normal,تمني ل قمه حكي درزي ان شيخ دار خلد دار حضره جاهليه مثل خلد لا 
2448,شو هم الكبار من حكي الصغار الوزير الملك جبران باسيل أنت كبير وبتضلك كبير لأنك إنسان شهم ومتواضع,Normal,شو كبير حكي صغير وزير ملك جبران باسيل انت كبير وبتضلك كبير ان انسان شهم متواضع
3583,والمرشح الابرز لخلافة نصر الله هو جبران باسيل لما يمتلكه من وساخة وحقارة وقلة شرف,Violent,مرشح ابرز خلاف نصر الله جبران باسيل امتلك وخي حقاره قله شرف
7628,و جبران باسيل ما استنكر ، اي معن حق في خيانة,Normal,جبران باسيل استنكر ماع حق خيانه
5266,بدك شي شاكوش يضرب راسك ليفتح مخك السيد مش لاكشك باجرو,Mockery,بد شي شاكوش ضرب راس فتح مخ سيد مش كش باجرو
5015,الله ينتقم من الحكام العرب الخونة,Normal,الله انتقم حاكم عرب خاءن
4395,الفجوة اللي بجيك منها ريح سدها واستريح وسد نيعك معها,Violent,فجوه ل ي بجيك ريح سد استراح سد نيع
7377,شكلو محشش ,Mockery,شكلو محشش
1518,يا جماعة والله الفيس بوك بلشتو مشان طبق بنت وما بعرف كيف وصلت لهون,Normal,يا جماعه الله الفيس بوك بلشتو مشان طبق بنت ما عرف وصل ل ها
7181,كان بدري عّم يقبض حق تغريدته مبارح ضد قطر   ,Normal,دري عم قبض حق تغريدته مبارح قطر
6183,يا زلمي لي ما عم تفهموليد بيك زعيم الجبل الاول والاوحد حطا بدينتك ,Normal,يا زلم ل عم تفهموليد بك زعيم جبل اوحد حط دين
3195,عوي يا كلب السعودية نحن دايسين ع راسك وراسك معلمينك ولاك خنزير,Violent,عوي يا كلب سعودي دايسين راس راس معلمينك ولي خنزير
6634,وزير الخارجية اللبناني جبران باسيل شكر أمير قطر وقال إن وصوله إلى بيروت مبادرة لكسر الحصار عن القمة العربية الاقتصادية,Normal,وزير خارجي لبناني جبران باسيل شكر امير قطر ان وصول الي بيروت مبادره كسر حصار قمه عربي اقتصادي
355,ياريت كنا قطريين ,Normal,ياريت كان قطري
5011,تحيا فلسطين,Normal,حي فلسطين
3730,طيب يا بغلة,Mockery,طيب يا غله
4042,صباح الخير كول هوا,Mockery,خير كول هوا
1650,الحذاء هو الرد المناسب ,Violent,حذاء رد مناسب
8363,انت خراس,Violent,خراس
5363,وانت من السياسين ولا العاهرات,Mockery,انت السياسين عاهره
8339, يرحم جدك كان يغرد ع السجرة,Mockery,رحم جد غرد السجره
371,انت اخنزر من الخنزير واوسخ من الوساخة حثالة امعة جعر نتن,Violent,اخنزر خنزير اوسخ و س اخ ه حثاله امع جعر نات
3513,مش معروف شو بدو  شو عدا ما بدا      ,Normal,مش معروف شو بدوي شو بدا
6569,ما بحبك بس حلوي♥,Normal,حب حلوي 
4,ما فيك تعيش بلا ما تكب فتن ليل نهار وبكرة قلهم الموضوع عند السيد ,Normal,في عاش بلا وكب فتنه ليل نهار كره قل موضوع سيد
2892,و انت وين لزم تكون ,Normal,ين لزم
8891,الله يعيد الحقوق لأهلها,Normal,الله اعاد حق اهل
6252,لك يقطع عمرن اسم على مسمى,Normal,ل قطع عمر اسم مسمي
3522,مش جايي لعندك و على دولة الخلّفك و فيك تفل إذا مش عاجبك ,Mockery,مش جايي لعندك دوله الخلفك في تفل اذا مش عاجبك
8770,كل التعليقات اهتمت بالعنوان وتجاوزت المضمون فقال بعض وهذا صحيح فنحن في الجزائر ايام ازمتنا الامنية اصطف الفلسطينيون مع العرب ضدنا وقاطعونا فعرفات الذى كان انلم يتغدى في الجزائر يتعشى قاطعنا ولم يزر الجزائر لمدة سنوات وهذا بعد اعلان الدولة الفلسطينية من ارضنا وهذا مافعله الحمساويون مع سوريا. نعاقب بسببكم وتتخلون عنا  هذه حقيقة لما يكن لكم الاختيار بين المبدا والدولار اخترتم الدولار فانا لما اشاهد الفلسطينى بلباس انيق صراحة اتحسر,Normal,تعليق اهتم عنوان تجاوز مضمون قال صحيح نحن جزاءر ازمه امني اصطف فلسطيني عرب ضد قاطع عرفات انلم تغدي جزاءر تعشي قاطع زار جزاءر مده اعلان دوله فلسطيني ارض مافعله الحمساويون سوريا عاقب سبب تخلي عن حقيقه كان ل اختيار مبدا دولار اختار دولار انا شاهد فلسطيني لباس انيق تحسر
748,الفاسد مش خائن,Mockery,فاسد مش خاءن
245,عن جد وقح,Sexual harrasment,جد وقح
915,لقد أكلنا هواءاً,Normal,قد اكل هواءا
8321,فشرت بنص عينك ياكلب,Violent,ف شر نص عين ياكلب
3612,كول هوا العمى شو انك حمار,Violent,كول هوا عم ي شو ان حمار
8806,كلنا نحب إخواننا الفلسطنيين....,Normal,كل احب اخوه فلسطني 
4481,سورية قلب الامة العربية ,Normal,سوري قلب امه عربي
5587,ههه الجبان عمل لي بلوك ,Mockery,ههه جب عمل ل بلوك
8517,بس بقي قرفنا يا زلمي,Mockery,بقي قرف يا زلم
3865,الحياة زنخة بس نفهمها,Normal,حياه زنخ ف هم
5934,انت و مرجعك الكبير و صرمايتي سوا ,Mockery,مرجع كبير صرمايه سوا
958,عاهاتك ياوطن,Mockery,عاهه ياوطن
4878,كلامك صحيح %100,Normal,كلام صحيح 100
6645,اصلا مع هيك عالم لازم نستخدم لغة الصرامي يا نعال الجنبلاط ,Sexual harrasment,هيك عالم لازم استخدم لغه صرامي يا نعل الجنبلاط
7102,نرجو ذلك يا معالي النائب ,Normal,رجا يا معالي ناءب
8085,ما بينعتب عليك جاهلة وهبلة ,Mockery,بينعتب جاهل اهبل
5686,كلنا معك معالي الوزير الملك جبران باسيل,Normal,كل معك معالي وزير ملك جبران باسيل
5671,يخليلنا ياك يا رب ,Normal,يخليلنا ياك يا
4547,وزارة المرأة بتلبقلو كتير,Normal,وزاره مرا ه بتلبقلو كتير
2351,بيقتل القتيل وبيمشي بجنازته الهيئة الحق على الشبح كاسبر,Mockery,بيقتل قتيل وبيمشي جنازه هيءه حق شبح كاسبر
7225,كل الاجلال والاحترام الأوفياء بيتذكرو كرم اهل دمشق دمشق احتضنت اللبنانيين في محنتهم والعراقيين والفلسطينيين ,Normal,اجلال احترام و في بيتذكرو كرم اهل دمشق دمشق احتضن لبناني محنه عراقي فلسطيني
5205,لك سيدي الله ياخذه مو مشكلة المشكلة بالجني الداشر العم يكتملي هالحسابات دون ادنى درجة من درجات الادب و اللباقة,Violent,ل سيد الله اخذ مو مشكله مشكله جني الداشر عم يكتملي هالحسابات اد درجه درجه ادب لباقه
8617,"لا حول ولا قوه الا بالله، أنا فلسطينية وسمعت كلامه، لم يقل الفلسطينيين بل قال بعض الفلسطينيين وكلامه صحيح، وقال بعض الناس نقول عن القضية الفلسطينية تذهب الى الجحيم.
بشار الأسد هو آخر زعيم عربي حر وشريف ولهذا صهاينة العرب تنبح كالكلاب خلف الصهاينة وتشتم الدكتور بشار الأسد",Normal,قوه الله انا فلسطيني سمع كلام قل فلسطيني فلسطيني كلام صحيح ناس قال قضيه فلسطيني ذهب جحيم بشار اسد اخر زعيم عربي حر شريف هذا صهيوني عرب نبح كلب صهيوني شتم دكتور بشار اسد
6135,قيادة الناس تتطلب مصداقية للاسف مفقودة من الطاقم السياسي الحاكم ,Normal,قياده ناس تطلب مصداقيه اسف مفقود طاقم سياسي حاكم
3464,عزيزي وئام شو يعني رعديداً,Normal,عزيزي وءام شو عن ني رعديد
325,من لاينفعه الدواء لا يعالجه الا الكي ,Mockery,لاينفعه دواء عالج كي
2666,سياسيين جداد مش شعب الشعب قلبو معتّر و درويش شعب من طيبتوا السياسيين الاوغاد استغلوها شعب لي مرق عليه,Violent,سياسي جداد مش شعب شعب قلبو معتر درويش شعب طيبتوا سياسي و غد استغل شعب ل مرق
760,مين انت يعني حتى عم تهدد انقبر احترم حالك يا نكرة,Violent,مين عن ني عم هدد انقبر احترم حال يا كره
8207,وبشر الصابرين بالفرج ,Normal,شر صابر فرج
4746,الرجل لم يكذب معظم الفلسطينيين اللي عاشوا في العربية خانوا وطنهم,Normal,رجل كذب معظم فلسطيني ل ي عاش عربي خان وطن
8107,قصدك البغل جبران باسيل؟؟؟,Mockery,قصد ب غل جبران باسيل 
1725,فعلا زمن الرويبضة ومناسب جدا ,Normal,فعل زمن الرويبضه مناسب
4708,واحد وتلاتين تلات,Normal,وتلاتين تله
4585,عنجد بهيم هلق قطر أودعت المبلغ من شان الفوائد ,Mockery,عنجد بهيم هلق قطر اودع مبلغ شان فاءده
8369,جبران باسيل ظاهرة صوتية يوم بقول سوريا احتلال و يوم بده يشارك بإعادة اعمارها خطاب طويل عريض بدعم عودة سوريا للجامعة,Normal,جبران باسيل ظاهره صوت قول سوريا احتلال بد شارك اعاده اعمار خطاب طويل عريض دعم عود سوريا جامعه
5770,على أساس انت شخصية العصر لك مين قاريك يا قباري الناس بعفويتها رحبت بقطر لا اهلا ولا سهلا فيك ,Mockery,اساس شخص عصر ل مين قاري يا قبار ناس عفو ي رحب قطر سهل في
8926,آآآخ على القهر ودنائة حكام العرب واقفلهم كلاب مسلحين ويهددوهم ويغلطو عليهم وهم ما معهم سلاح الآن فهمت لم يموت الشباب الفلسطيني اللهم إني أعوذ بك من قهر الرجال,Violent,اااخ قهر ودناءه حاكم عرب اقفل كلب مسلح هدد ويغلطو علي هم مع سلاح ان ف هم مات شب فلسطيني اللهم ان عاذ بك قهر رجل
6684,تعا لدق راسي فيك يا حيط و بالنسبة للكلاب العونية احلى كلاب ع المزابل,Mockery,تعا دق راس في يا حيط نسبه كلب العونيه حلو كلب مزبله
3123,نعم يافلاح  يا ضيعجي ياتافه يا درزي باتحكي عن السوريبن وانت اول من يتمنى موتهم وفنائهم وتبقى طائفتك الدرزية ياحشرة,Religious affiliation,يافلاح يا ضيعجي ياتافه يا درزي باتحكي السوريبن انت تم موت ف ناء بقي طاءفه درزي ياحشره
3387,موفقين ونحن معكم وسنقرا لكم ,Normal,موفق نحن مع قرا ل
4813,اي والله صح صح لسانك فلتذهب الى الجحيم لانهم لا يريدون احدا يساعدهم لقد غدروا بالعراقيين حين ارادو تحريرهم وابي احد هؤلاء الضحايا فلتذهب قضيتهم للجحيم,Violent,الله صح صح لسان ذهب جحيم ان اراد احد ساعد قد غدر عراقي ارادو تحرير ابي ضحيه ذهب قضيه جحيم
5443,ليك كول هوا وعملي بلوك,Normal,ل ي كول هوا عملي بلوك
6502,كول هوا خسرتو بأرضك وبين جمهورك بعد ما منعت القطريين من تشجيع جمهورهم انتو فاشلين في كل شئ وهم متفوقين,Racist,كول هوا خسرتو ارض جمهور منع قطري تشجيع جمهور انتوي فاشل شيء هم متفوق
8077,نجحنا بقوتنا شكراً فخامة الرئيس ومعالي الوزير جبران باسيل لكل شي عملتوه لانجاح القمة التنموية ولانو دايماً بترفعوا البلد,Normal,نجح قوه شكر خام رءيس معالي وزير جبران باسيل كل شي عملتوه انجاح قمه تنموي نوي دايما بترفعوا بلد
3194,عندما يكون المنصب أكبر من المسؤول ,Mockery,منصب اكبر مسءول
5977,خلص الموضوع ما بقا ينسكت عنو ,Normal,خلص موضوع بق ينسكت عنو
3896,انت ما بتمل من الحكي لك استحييييي ,Normal,بتمل الحكي ل استحييييي
8106,انت شو خصك بالحجاب بدك تمشي عارية انت حرة بس ما تحاولي تقنعي العالم بوجهة نظرك بكفي عهر هوا الحريه,Religious affiliation,شو خص حجاب بد مشي عاري حر حاول اقنع عالم وجه نظر كف عهر هوا حريه
5556,لعمي ,Mockery,عم
3158,هذه هي إسرائيل التي قال عنها جبران باسيل المُقاوم أنه لا يرفض وجود إسرائيل و بأن أمنها هو حقٌ لها,Normal,اسراءيل جبران باسيل مقاوم ان رفض وجود اسراءيل ان امن حق
5580,ديما بحبك كتير وكلي خرا بعرفك بتحبي البهدلة♡,Violent,ديمه حب كتير كلي خر عرف بتحبي بهدله 
4040,وانا لح قلك مارون غنيم ماتواخذني تلحس رجلي مع أحترامي لرجلي بس انتو متعودين عهالشي,Normal,انا لح قل مارون غنيم ماتواخذني ل حس رجل احترام رجل انتوي متعود عهالشي
6995,هاد نفسه بيآمن بعزرائيل,Mockery,هادي بيامن عزراءيل
